Airport_IATA,Airport_Name,Country_Code,Country_Name,Latitude,Longitude
CTR,Cattle Creek,AU,Australia,-17.5833,131.0
CUD,Caloundra,AU,Australia,-26.8,153.15
CUG,Cudal,AU,Australia,-33.2667,148.7667
CUQ,Coen,AU,Australia,-13.7628,143.1169
CUY,Cue,AU,Australia,-27.45,117.9167
CVC,Cleve,AU,Australia,-33.7,136.5
CVQ,Carnarvon,AU,Australia,-24.8847,113.6664
CWR,Cowarie,AU,Australia,-27.7167,138.3333
CWT,Cowra,AU,Australia,-33.85,148.65
CWW,Corowa,AU,Australia,-35.9833,146.35
CXQ,Christmas Creek Stn,AU,Australia,-18.8783,125.9289
CXT,Charters Towers,AU,Australia,-20.05,146.2667
CYG,Corryong,AU,Australia,-36.25,147.9
CZY,Cluny,AU,Australia,-24.5,139.5
DAJ,Dauan Island Heliport,AU,Australia,-9.4333,142.5167
DBO,Dubbo City Airport,AU,Australia,-32.2189,148.5756
DKI,Dunk Island,AU,Australia,-17.9392,146.1414
DKV,Docker River,AU,Australia,-24.8667,129.1167
DLK,Dulkaninna,AU,Australia,-29.0167,139.4667
DLV,Delissaville,AU,Australia,-12.4167,130.3417
DMD,Doomadgee Mission,AU,Australia,-17.9403,138.8217
DNB,Dunbar,AU,Australia,-16.0833,142.4167
DNG,Doongan,AU,Australia,-15.3833,126.3
DNM,Denham,AU,Australia,-25.9167,113.5333
DNQ,Deniliquin,AU,Australia,-35.55,144.95
DOX,Dongara,AU,Australia,-29.25,114.9333
DPO,Devonport,AU,Australia,-41.1697,146.4303
DRB,Derby Airport,AU,Australia,-17.3719,123.6625
DRD,Dorunda,AU,Australia,-16.5539,141.8239
DRN,Dirranbandi,AU,Australia,-28.5,148.2583
DRR,Durrie,AU,Australia,-25.6,140.25
DRW,Darwin,AU,Australia,-12.4147,130.8767
DRY,Drysdale River,AU,Australia,-15.6667,126.4167
DVP,Davenport Downs,AU,Australia,-24.1667,141.0833
DVR,Daly River Mission,AU,Australia,-13.75,130.6833
DXD,Dixie,AU,Australia,-15.1667,143.6667
DYA,Dysart,AU,Australia,-22.6167,148.3667
DYM,Diamantina Lakes,AU,Australia,-23.8667,141.25
DYW,Daly Waters,AU,Australia,-16.2667,133.3667
ECH,Echuca,AU,Australia,-36.15,144.75
EDD,Erldunda,AU,Australia,-25.25,133.2
EDR,Pormpuraaw,AU,Australia,-14.8969,141.6097
EIH,Einasleigh,AU,Australia,-18.5,144.1
EKD,Elkedra,AU,Australia,-21.0333,135.25
ELC,Elcho Island,AU,Australia,-12.0194,135.5706
EMD,Emerald,AU,Australia,-23.57,148.1778
ENB,Eneabba,AU,Australia,-30.0833,114.9833
EPR,Esperance,AU,Australia,-33.6822,121.8225
ERB,Ernabella,AU,Australia,-26.2667,132.1667
ERQ,Elrose Mine,AU,Australia,-20.9767,141.0086
ETD,Etadunna,AU,Australia,-28.7167,138.6333
EUC,Eucla,AU,Australia,-31.7167,128.8667
EVD,Eva Downs,AU,Australia,-18.0833,134.8667
EVH,Evans Head,AU,Australia,-29.1,153.4167
EXM,Exmouth,AU,Australia,-22.0403,114.1028
FIK,Finke,AU,Australia,-25.5833,134.6
FIZ,Fitzroy Crossing Fitzroy,AU,Australia,-18.1836,125.56
FLC,Falls Creek Heliport,AU,Australia,-34.9833,150.6
FLS,Flinders Island,AU,Australia,-40.0944,147.9939
FLY,Finley,AU,Australia,-35.65,145.5833
FOS,Forrest,AU,Australia,-30.8333,128.1
FOT,Forster,AU,Australia,-32.1833,152.5167
FRB,Forbes,AU,Australia,-33.3667,147.9333
FSL,Fossil Downs Station,AU,Australia,-18.2,125.75
FVL,Flora Valley,AU,Australia,-18.2833,128.4167
FVR,Forrest River Mission,AU,Australia,-15.1656,127.8411
GAH,Gayndah,AU,Australia,-25.6167,151.6167
GBL,South Goulburn Island,AU,Australia,-11.6667,133.4167
GBP,Gamboola,AU,Australia,-16.55,143.6667
GBV,Gibb River,AU,Australia,-16.3333,126.3667
GBW,Ginbata,AU,Australia,-22.6247,119.9586
GCQ,Gold Coast Bus Station,AU,Australia,-27.9672,153.4144
GDD,Gordon Downs,AU,Australia,-18.8333,128.5333
GEE,George Town,AU,Australia,-41.1,146.8333
GET,Geraldton,AU,Australia,-28.7967,114.7064
GEX,Geelong,AU,Australia,-38.2256,144.3333
GFE,Grenfell,AU,Australia,-33.9,148.1667
GFF,Griffith,AU,Australia,-34.2539,146.0617
GFN,Grafton Clarence Valley,AU,Australia,-29.7594,153.03
GGD,Gregory Downs,AU,Australia,-18.7,139.25
GIC,Boigu Island,AU,Australia,-9.2331,142.2175
GKL,Great Keppel Island,AU,Australia,-23.1833,150.95
GLG,Glengyle,AU,Australia,-24.7667,139.5833
GLI,Glen Innes,AU,Australia,-29.6833,151.7
GLM,Glenormiston,AU,Australia,-22.2833,138.3167
GLT,Gladstone,AU,Australia,-23.8697,151.2228
GLY,Mount Goldsworthy,AU,Australia,-20.0833,119.6667
GOO,Goondiwindi,AU,Australia,-28.5167,150.3167
GOS,Gosford,AU,Australia,-33.4333,151.35
GOV,Nhulunbuy Gove,AU,Australia,-12.2694,136.8183
GPD,Mount Gordon Mine,AU,Australia,-19.9994,139.9178
GPN,Garden Point,AU,Australia,-11.4,130.4333
GSC,Gascoyne Junction,AU,Australia,-25.05,115.2
GSN,Mount Gunson,AU,Australia,-31.4606,137.1725
GTE,Groote Eylandt,AU,Australia,-13.9725,136.4586
GTS,The Granites,AU,Australia,-20.5483,130.35
GTT,Georgetown,AU,Australia,-18.3,143.5333
GUH,Gunnedah,AU,Australia,-30.95,150.2333
GUL,Goulburn,AU,Australia,-34.8167,149.7333
HCQ,Halls Creek,AU,Australia,-18.2333,127.6667
HGD,Hughenden,AU,Australia,-20.8131,144.2253
HID,Horn Island,AU,Australia,-10.5864,142.29
HIG,Highbury,AU,Australia,-16.4333,143.15
HIH,Hook Island Heliport,AU,Australia,-20.1667,148.95
HIP,Headingly,AU,Australia,-21.3167,138.3
HIS,Hayman Island Heliport,AU,Australia,-20.06,148.8836
HLL,Hillside,AU,Australia,-17.0,128.0083
HLS,St Helens,AU,Australia,-41.0,148.175
HLT,Hamilton,AU,Australia,-37.6472,142.0619
HLV,Helenvale,AU,Australia,-15.6833,145.2
HMG,Hermannsburg,AU,Australia,-23.9667,132.6667
HNK,Hinchinbrook Island,AU,Australia,-18.3833,146.2833
HOK,Lajamanu Hooker Creek,AU,Australia,-18.3381,130.6375
HPE,Hopevale,AU,Australia,-14.6667,144.9167
HRN,Heron Island Heliport,AU,Australia,-23.4333,151.9167
HRY,Henbury,AU,Australia,-24.6667,133.0833
HSM,Horsham,AU,Australia,-36.6667,142.1667
HTI,Hamilton Island Great Barrier Reef,AU,Australia,-20.3581,148.9517
HTU,Hopetoun,AU,Australia,-35.7167,142.35
HUB,Humbert River,AU,Australia,-16.4897,130.6297
HVB,Hervey Bay,AU,Australia,-25.32,152.8803
HWK,Hawker,AU,Australia,-31.8547,138.4681
HXX,Hay,AU,Australia,-34.5167,144.8333
JCK,Julia Creek,AU,Australia,-20.6683,141.7225
JFM,Fremantle Heliport,AU,Australia,-32.0433,115.7394
JHQ,Shute Harbour,AU,Australia,-20.2833,148.75
JUN,Jundah,AU,Australia,-24.8,143.0333
JUR,Jurien Bay,AU,Australia,-30.2667,115.05
KAH,Yarra Bank Heliport,AU,Australia,-37.9833,144.9667
KAX,Kalbarri,AU,Australia,-27.6928,114.2592
KBB,Kirkimbie Station,AU,Australia,-17.7667,129.2167
KBD,Kimberley Downs Stn,AU,Australia,-17.4,124.3667
KBJ,Kings Canyon,AU,Australia,-24.2667,131.4944
KBY,Streaky Bay,AU,Australia,-32.8,134.2333
KCE,Collinsville,AU,Australia,-20.55,147.8667
KCI,Koolan Island Koolan Central,AU,Australia,-16.1258,123.7347
KCS,Kings Creek Station,AU,Australia,-24.3833,131.6833
KDB,Kambalda,AU,Australia,-31.2,121.6667
KDS,Kamaran Downs,AU,Australia,-24.3333,139.1667
KFE,Cloudbreak Fortescue Dave Forrest,AU,Australia,-22.2911,119.4383
KFG,Kalkgurung,AU,Australia,-17.4319,130.8081
KGC,Kingscote,AU,Australia,-35.7158,137.5258
KGI,Kalgoorlie-Boulder,AU,Australia,-30.7914,121.4636
KGR,Kulgera Roadhouse,AU,Australia,-25.8333,133.5
KGY,Kingaroy,AU,Australia,-26.5833,151.85
KKP,Koolburra,AU,Australia,-15.5833,143.95
KML,Kamileroi,AU,Australia,-19.5,140.0833
KNI,Katanning,AU,Australia,-33.7,117.55
KNS,King Island,AU,Australia,-39.8775,143.8783
KNX,Kununurra,AU,Australia,-15.7781,128.7075
KOH,Koolatah,AU,Australia,-15.9667,142.4167
KPP,Kalpowar,AU,Australia,-14.8833,144.2167
KPS,Kempsey,AU,Australia,-31.0667,152.7667
KQB,Koonibba,AU,Australia,-31.9667,133.45
KQR,Kararra,AU,Australia,-29.2169,116.6869
KRA,Kerang,AU,Australia,-35.75,143.9333
KRB,Karumba,AU,Australia,-17.4528,140.8328
KRD,Kurundi Station,AU,Australia,-20.5,134.6333
KSV,Springvale,AU,Australia,-23.6667,140.75
